Year,Location,Plant_Date,County,Date,LocMinTempF,LocMaxTempF,CIMIS,StatMinTempF,StatMaxTempF,HeadM105,HeadM206,HeadM209,HeadM210,HeadM211,HeadM401,,,,
2016,BosworthRue,5/16/16,Yuba,2016-09-15,46.4,84.7,Verona235,45.4,87.0,Heading,Heading,Heading,Heading,Heading,Notplanted,,,,
2016,BosworthRue,5/16/16,Yuba,2016-09-16,50.0,90.7,Verona235,47.6,93.5,Heading,Heading,Heading,Heading,Heading,Notplanted,,,,
2016,BosworthRue,5/16/16,Yuba,2016-09-17,50.6,92.9,Verona235,48.1,92.7,Heading,Heading,Heading,Heading,Heading,Notplanted,,,,
2016,BosworthRue,5/16/16,Yuba,2016-09-18,52.0,96.5,Verona235,51.4,95.2,Heading,Heading,Heading,Heading,Heading,Notplanted,,,,
2016,BosworthRue,5/16/16,Yuba,2016-09-19,56.6,92.4,Verona235,53.5,98.2,Heading,Heading,Heading,Heading,Heading,Notplanted,,,,
2016,BosworthRue,5/16/16,Yuba,2016-09-20,64.0,86.9,Verona235,57.8,89.2,Heading,Heading,Heading,Heading,Heading,Notplanted,,,,
2016,BosworthRue,5/16/16,Yuba,2016-09-21,59.1,78.0,Verona235,50.9,83.2,Heading,Heading,Heading,Heading,Heading,Notplanted,,,,
2016,BosworthRue,5/16/16,Yuba,2016-09-22,51.1,74.9,Verona235,45.8,75.9,Heading,Heading,Heading,Heading,Heading,Notplanted,,,,
2016,BosworthRue,5/16/16,Yuba,2016-09-23,43.3,79.1,Verona235,42.7,81.7,Heading,Heading,Heading,Heading,Heading,Notplanted,,,,
2016,BosworthRue,5/16/16,Yuba,2016-09-24,47.1,87.1,Verona235,47.2,90.1,Heading,Heading,Heading,Heading,Heading,Notplanted,,,,
2016,BosworthRue,5/16/16,Yuba,2016-09-25,44.9,91.5,Verona235,46.2,94.0,Heading,Heading,Heading,Heading,Heading,Notplanted,,,,
2016,BosworthRue,5/16/16,Yuba,2016-09-26,49.4,95.8,Verona235,53.0,99.7,Heading,Heading,Heading,Heading,Heading,Notplanted,,,,
2016,BosworthRue,5/16/16,Yuba,2016-09-27,50.7,94.1,Verona235,53.3,94.9,Heading,Heading,Heading,Heading,Heading,Notplanted,,,,
2016,BosworthRue,5/16/16,Yuba,2016-09-28,51.7,89.5,Verona235,51.9,95.9,Heading,Heading,Heading,Heading,Heading,Notplanted,,,,
2016,BosworthRue,5/16/16,Yuba,2016-09-29,52.9,84.8,Verona235,52.5,84.1,Heading,Heading,Heading,Heading,Heading,Notplanted,,,,
2016,BosworthRue,5/16/16,Yuba,2016-09-30,53.1,79.4,Verona235,49.8,76.6,Heading,Heading,Heading,Heading,Heading,Notplanted,,,,
2016,BosworthRue,5/16/16,Yuba,2016-10-01,42.1,75.8,Verona235,39.1,77.4,Heading,Heading,Heading,Heading,Heading,Notplanted,,,,
2016,BosworthRue,5/16/16,Yuba,2016-10-02,41.9,69.3,Verona235,42.5,71.3,Heading,Heading,Heading,Heading,Heading,Notplanted,,,,
2016,BosworthRue,5/16/16,Yuba,2016-10-03,38.5,63.3,Verona235,39.1,63.1,Heading,Heading,Heading,Heading,Heading,Notplanted,,,,
2016,BosworthRue,5/16/16,Yuba,2016-10-04,39.8,73.0,Verona235,42.6,74.4,Heading,Heading,Heading,Heading,Heading,Notplanted,,,,
2016,BosworthRue,5/16/16,Yuba,2016-10-05,37.8,75.4,Verona235,39.2,76.3,Heading,Heading,Heading,Heading,Heading,Notplanted,,,,
2016,BosworthRue,5/16/16,Yuba,2016-10-06,37.6,79.8,Verona235,42.2,80.4,Heading,Heading,Heading,Heading,Heading,Notplanted,,,,
2016,BosworthRue,5/16/16,Yuba,2016-10-07,40.3,82.6,Verona235,38.8,84.7,Heading,Heading,Heading,Heading,Heading,Notplanted,,,,
2016,BosworthRue,5/16/16,Yuba,2016-10-08,45.8,87.0,Verona235,0.0,0.0,Heading,Heading,Heading,Heading,Heading,Notplanted,,,,
2016,BosworthRue,5/16/16,Yuba,2016-10-09,42.4,87.8,Verona235,0.0,0.0,Heading,Heading,Heading,Heading,Heading,Notplanted,,,,
2016,BosworthRue,5/16/16,Yuba,2016-10-10,44.6,84.5,Verona235,0.0,0.0,Heading,Heading,Heading,Heading,Heading,Notplanted,,,,
2016,BosworthRue,5/16/16,Yuba,2016-10-11,49.1,78.1,Verona235,51.6,83.3,Heading,Heading,Heading,Heading,Heading,Notplanted,,,,
2016,BosworthRue,5/16/16,Yuba,2016-10-12,44.7,78.1,Verona235,41.4,77.6,Heading,Heading,Heading,Heading,Heading,Notplanted,,,,
2016,BosworthRue,5/16/16,Yuba,2016-10-13,55.9,72.4,Verona235,51.9,74.1,Heading,Heading,Heading,Heading,Heading,Notplanted,,,,
2016,Canal,4/23/16,Colusa,2016-04-23,42.6,70.4,Biggs244,46.0,73.1,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted,,,,
2016,Canal,4/23/16,Colusa,2016-04-24,50.8,71.5,Biggs244,50.1,75.7,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted,,,,
2016,Canal,4/23/16,Colusa,2016-04-25,48.7,68.1,Biggs244,49.7,71.3,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted,,,,
2016,Canal,4/23/16,Colusa,2016-04-26,42.6,71.6,Biggs244,48.4,76.7,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted,,,,
2016,Canal,4/23/16,Colusa,2016-04-27,49.7,67.1,Biggs244,51.0,70.3,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted,,,,
2016,Canal,4/23/16,Colusa,2016-04-28,49.0,77.4,Biggs244,48.5,80.7,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted,,,,
2016,Canal,4/23/16,Colusa,2016-04-29,53.6,78.1,Biggs244,49.7,81.9,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted,,,,
2016,Canal,4/23/16,Colusa,2016-04-30,57.2,77.2,Biggs244,57.1,84.1,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted,,,,
2016,Canal,4/23/16,Colusa,2016-05-01,61.2,83.5,Biggs244,56.8,89.2,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted,,,,
2016,Canal,4/23/16,Colusa,2016-05-02,57.5,82.7,Biggs244,54.0,85.0,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted,,,,
2016,Canal,4/23/16,Colusa,2016-05-03,58.3,80.7,Biggs244,53.2,83.6,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted,,,,
2016,Canal,4/23/16,Colusa,2016-05-04,63.9,79.7,Biggs244,60.4,85.5,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted,,,,
